Audit Reference Number,VAR-20241007-TW-05A01-1
Data points,"* Record review: 10 out of 10 pieces of public information covering the period of October 2023 to September 2024 does not
reveal any current cases or allegations of a) Bribery. b) Improper advantage. c) Corruption. d) Extortion.
* Record review: 10 out of 10 grievance records covering the period October 2023 to September 2024 does not reveal any current
cases or allegations of a) Bribery. b) Improper advantage. c) Corruption. d) Extortion. e) Embezzlement.
* Record review: 20 out of 20 declarations of conflict of interest covering the period of October 2023 to September 2024 a) Are
recorded. b) Are adequate. c) For Direct workers. d) For indirect workers.
* Record review: 20 out of 20 personnel files confirm no negative consequence for any worker or employee refusing to do
anything in Non-conformance with the “highest standard of integrity” policy.
* Record review: 10 out of 10 leave records covering the period October 2023 to September 2024 confirm no negative
consequence for any worker or employee refusing to do anything in Non-conformance with the “highest standard of integrity”
policy.
* Record review: 5 out of 5 disciplinary records covering the period October 2023 to September 2024 confirm no negative
consequence for any worker or employee refusing to do anything in Non-conformance with the “highest standard of integrity”
policy.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
D2) DISCLOSURE OF INFORMATION,
Question #,VAP-D2.1
Question Text,"No evidence of misreporting, record falsification, misrepresentation or evidence of communicating inaccurate information to the
public"
Rating,Conformance
Conclusion,"No evidence of misreporting, record falsification, misrepresentation, or evidence of communicating inaccurate information to the
public."
Data points,"* Site observation: Company information posted is accurate.
* Record review: 10 out of 10 pieces of public information covering the period of October 2023 to September 2024 demonstrate:
a) All company information is accurate. b) All publicly communicated company information is accurate, including a) Job
posting. b) Product details. c) Company/facility promotion. d) Commercial advertising. e) Press releases. f) Website.
* Record review: Annual report of financial audit (Doc. No: NA, Rev. NA, Issue date: 6 February 2024) a) About the Auditee’s
business operations is available. b) Does not show discrepancy with other company information.
* Record review: 10 out of 10 Communications with suppliers covering the period of October 2023 to September 2024 a) Include
labor practices. b) Include occupational health and safety practices. c) Include environmental practices. d) Include ethics
practices. e) Include organizational structure. f) Include financial situation. g) Include performance for each code area. h) All
information is accurate.
* Record review: 10 out of 10 Communications with customers covering the period of October 2023 to September 2024 a)
Include labor practices. b) Include occupational health and safety practices. c) Include environmental practices. d) Include ethics
practices. e) Include organizational structure. f) Include financial situation. g) Include performance for each code area. h) All
information is accurate.
* Record review: 10 out of 10 pieces of information reviewed during the audit covering the period of October 2023 to September
2024 a) Are accurate. b) Prove no attempt of or falsification of records. c) Demonstrate no attempt of or misrepresentation of
conditions or practices.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
D3) INTELLECTUAL PROPERTY,
Question #,VAP-D3.1
Question Text,"No evidence of Intellectual Property or business information loss or unauthorized disclosure (the Reviewee’s own and that of
their customers/suppliers)."
Rating,Conformance
Conclusion,"No evidence of Intellectual Property or business information loss or unauthorized disclosure (the Auditee’s own and that of their
customers/suppliers)."
Data points,"* Site observation: a) IP information is visibly protected. b) business information visibly protected.
* Record review: RBA Code of Conduct Management Procedure (Document No.: B0000-4200, Rev. L, issued date: 28 June
2024) states: a) Is adequate. b) Is effective. c) Includes administrative control and d) IT control. e) to access IT systems and. f) to
access IP. g) of business information.
* Record review: 20 out of 20 protection agreements covering the period of October 2023 to September 2024 Are in place for: a)
All employees. b) All workers. c) All suppliers. d) All customers.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 2 out of 2 office workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
"D4) FAIR BUSINESS, ADVERTISING AND COMPETITION",
Question #,VAP-D4.1
Question Text,"No identified risk or evidence of non-conformance with fair business, advertising and competition standards."
Rating,Conformance
Conclusion,"No identified risk or evidence of non-conformance with fair business, advertising, and competition standards."
Data points,"* Record review: 10 out of 10 grievance records covering the period October 2023 to September 2024 demonstrate no confirmed
and unactioned cases on fair business, fair advertising or fair competition.
* Record review: 10 out of 10 grievance investigation records covering the period October 2023 to September 2024 demonstrate:
a) Each case is investigated. b) Each investigation is documented. c) Each investigation has a conclusion matching the
investigation results. d) Each investigation that confirms the allegation has a documented action plan.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 2 out of 2 office workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
D5) PROTECTION OF IDENTITY AND NON-RETALIATION,
Question #,VAP-D5.1
Question Text,No evidence of retaliation or reduced protection of identity.
Rating,Conformance
Conclusion,No evidence of retaliation or reduced protection of identity.
Data points,"* Record review: 10 out of 10 grievance records covering the period October 2023 to September 2024 demonstrate no forms of
retaliation.
* Record review: 10 out of 10 grievance investigation records covering the period October 2023 to September 2024 demonstrate:
a) no forms of retaliation. a) Each case is investigated. b) Each investigation is documented. c) Each investigation has a
conclusion matching the investigation results. d) Each investigation that confirms the allegation has a documented action plan.
* Record review: 10 out of 10 grievance communications records covering the period October 2023 to September 2024
demonstrate no breach of the protection of identity.
* Record review: 20 out of 20 personnel files confirm a) no forms of retaliation. b) no redundancies as a form of retaliation.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
